# atlas-index|semantic-key|upstream-asset|source-file|sha256
0|Tool.Pencil|Pen|ic_fluent_pen_24_regular.svg|33a840cc52a70f4522bdefb29683c24095e6a16febc915814dece15cd93d9445
1|Tool.Brush|Paint Brush|ic_fluent_paint_brush_24_regular.svg|afbac2dbe8474f7893aebfebb5e2dae4c944ee4aef065b8518f58103bb2c0fe6
2|Tool.Eraser|Eraser|ic_fluent_eraser_24_regular.svg|73508c834e4db5a43230d07328e288c6f8e659fc046deba554314a4fde63908d
3|Tool.Fill|Paint Bucket|ic_fluent_paint_bucket_24_regular.svg|88dc28a6ff16bf9f652432be4a0490f917625258ed44bfeb6e9d0f448fe7c16e
4|Tool.ClosedRegionFill|Color Fill|ic_fluent_color_fill_24_regular.svg|0d95f54b9e307deb148d3359bfcb0545e1af80a3d39f6c0aea97034e2b45fe3f
5|Tool.FillExtension|Paint Bucket Brush|ic_fluent_paint_bucket_brush_24_regular.svg|46ceb2b18edbcddb906ebcc9e9dd7c9097ad460f2f7441d6c8d5cb5096c8abe0
6|Tool.Eyedropper|Eyedropper|ic_fluent_eyedropper_24_regular.svg|760f2318a6cca80a85e254428b843d97e4f3c974c2293c80ea1a11836e8b42ec
7|Tool.Gradient|Circle Half Fill|ic_fluent_circle_half_fill_24_regular.svg|513aab607fc243668bea6d41c6fb8ea2bccdac5a56fc8ca375f064d543a91e16
8|Tool.Airbrush|Spray Can|ic_fluent_spray_can_16_regular.svg|170ae86f83dc6f8374eec67fbca4d261edbd5bc6c14e5559d2ea7fbf899c28df
9|Tool.BoundaryAirbrush|Paint Brush Subtract|ic_fluent_paint_brush_subtract_24_regular.svg|fc456966839590dc8bd4f0b5def5062a0c659d626147cbd4cf27ec5e4bc1ac30
10|Tool.Blur|Blur|ic_fluent_blur_24_regular.svg|bcbd3adf6830084a9babf89251ee49284e7065091326d3489d54c249a0fca50a
11|Tool.Stamp|Stamp|ic_fluent_stamp_32_light.svg|b0c84c2297914b47ffab27f2b7347693a65d37b36e5c07160a00419d0a7d8bff
12|Tool.DustRemoval|Dust|ic_fluent_dust_24_regular.svg|f0136ecdfbc31d659d0e3ebb03144a9f98d9987a28e7ef30942b65667e1ceb46
13|Tool.AlphaGradient|Transparency Square|ic_fluent_transparency_square_24_regular.svg|dc3a798c7312f2036cf3998edd2cb5240e322b2a8cf24e52713a1d4b53ec36df
14|Pane.Visible|Eye|ic_fluent_eye_24_regular.svg|4a9ca45d072c986e159b46c9c19d4290463edabc507db07c28e46f64bddefb47
15|Pane.Hidden|Eye Off|ic_fluent_eye_off_24_regular.svg|69c812230955937160708700e81ff4064251ff7107834fa86b9e1c7b2d479272
16|Pane.Editable|Lock Open|ic_fluent_lock_open_24_regular.svg|fdc90527c5838060e239e92a9a4ea4ac21f80eb58565ed78133e8e41c1ae6b32
17|Pane.Protected|Lock Closed|ic_fluent_lock_closed_24_regular.svg|589e952219e9f3f018b33bebc9e2fe9ac8038cf2db5bc03350d5ff20a13dcd60
18|Pane.PinDocument|Pin|ic_fluent_pin_24_regular.svg|b9c336db06284379d60461fff1b2f7367236b3e7f7c4d96fbc23ebd87642375a
19|Pane.ReturnToFollowing|Pin Off|ic_fluent_pin_off_24_regular.svg|08190a863ceb645acdb4956d1a56ece370711af66e406c99cfce3b55a8bf58f7
